seq,season,year,title,location,continent,original_air_date,scheduled_duration,female,female_age,start_fpsr,end_fpsr,female_duration,female_military,female_weight_loss,male,male_age,start_mpsr,end_mpsr,male_duration,male_military,male_weight_loss,male_build
49,6,2016,Melt Down Under,Australia,Australia,2016-05-15,21,Laura Thompson-Nelson,47,6.1,4.9,8.0,,,Nicklas Lautakoski,30,7.3,8.1,21,,,
50,6,2016,Bad Blood,Nicaragua,North America,2016-05-22,21,Nicole Terry,27,5.9,6.1,21.0,,,Angel Rodriguez,37,7.3,8.1,21,,,
51,6,2016,Strength in Pain,Honduras,North America,2016-05-29,21,Bree Walker,30,6.9,4.9,14.0,,,Clarence Gilmer II,35,7.2,7.9,21,,,
52,6,2016,23 Days,Namibia,Africa,2016-06-05,23,Amber Hargrove ,31,7.8,7.4,9.0,,,Don Nguyen,28,6.0,7.5,23,,,
52,6,2016,23 Days,Namibia,Africa,2016-06-05,21,Holly Simmons,23,6.2,,2.0,,,,,,,,,,
53,7,2017,Eye of the Storm,Belize,North America,2017-03-05,21,Lacey Jones,30,7.1,8.2,21.0,,,Jason Gassaway,44,6.8,,12,,,
54,7,2017,Washed Out,Ecuador,South America,2017-03-12,19,Giovanna Horning,31,6.2,6.2,19.0,,,Wes Adams,31,7.3,5.2,15,,,
55,7,2017,Hangary,Trinidad,South America,2017-03-19,21,Shannon Kulpa,38,7.2,8.0,21.0,,,Timothy Lair ,27,7.2,7.7,21,,,
56,7,2017,Ashes to Ashes,Montserrat ,North America,2017-04-02,21,Dawn Dussault,33,7.1,5.4,9.0,,,Chad Keel,28,7.1,4.9,5,,,
57,7,2017,The Lost World,South Africa,Africa,2017-04-09,14,Gabrielle Balassone,27,4.2,6.9,14.0,,,Jonathan Short,25,4.0,3.2,5,,,
58,7,2017,The Monster,Australia,Australia,2017-04-16,21,Maria Corrales,32,7.0,8.3,21.0,,,Dan Gardner,34,6.9,8.1,21,,,
59,7,2017,Unhinged,Panama,North America,2017-04-23,21,Melissa LeEllen,34,5.8,6.9,21.0,,,Geoff Wilson,26,7.5,5.2,14,,,
60,7,2017,Curse of the Swamp (2 part),Louisiana,North America,2017-04-30,21,Michelle Etchings,34,6.1,4.4,3.0,,,Jeremy McCaa,40,6.1,8.2,25,,,
60,7,2017,Curse of the Swamp (2 part),Louisiana,North America,2017-04-30,21,Melanie Rauscher,30,7.2,7.6,21.0,,,,,,,,,,
61,7,2017,Arachnid Overload,Colombia,South America,2017-05-14,21,Kayla Cumings,28,6.4,7.4,21.0,,,David Michael Scott,36,7.5,8.1,21,,,
62,7,2017,Worlds Collide Part 1,Ecuador,South America,2017-05-21,21,Melissa Miller,28,7.0,,21.0,,,Chance Davis,,6.8,,,,,
63,8,2017,Lost at Sea,Bahamas,North America,2017-07-30,21,Sarah Danser,26,6.8,,8.3,No,8,Ben Johnson,28,8.1,8.3,,Yes,25,M
64,8,2017,Texan Torture,Texas,North America,2017-08-02,21,Mckenzie,35,6.7,7.6,21.0,No,20,Scott,46,6.8,7.5,21,Yes,30,M
65,8,2017,The Hunted,Belize,North America,2017-08-03,21,Sarah Wiley,35,6.9,7.4,21.0,No,10,"Dustin ""Duck"" Campbell",37,6.7,7.1,21,No,25,M
66,8,2017,Rain of Terror,Ecuador,South America,2017-08-06,21,Kaila,24,7.1,5.0,18.0,No,30,Trevor Rasmussen,31,7.3,4.9,18,No,19,M
67,8,2017,Stone Cold,Croatia,Europe,2017-08-13,21,Samantha Olds,29,6.8,6.7,18.0,Yes,13,Adam,29,6.0,5.7,18,No,18,M
